entity,cidr
us-west-1,54.219.0.0/16
us-gov-west-1,3.32.0.0/16
ca-central-1,35.182.0.0/15
us-east-1,99.77.191.0/24
ap-southeast-1,13.250.0.0/15
us-east-2,15.230.39.104/31
us-east-1,44.192.0.0/11
us-gov-east-1,52.95.166.0/23
eu-north-1,52.144.216.2/31
af-south-1,150.222.208.66/31
us-east-2,15.230.39.136/31
us-east-2,15.230.39.226/31
eu-west-1,52.144.215.0/31
eu-north-1,52.144.215.196/31
eu-south-1,54.240.236.78/32
ap-southeast-1,64.252.102.0/24
ap-southeast-2,64.252.108.0/24
eu-west-1,87.238.80.0/21
eu-west-2,99.77.156.0/24
eu-north-1,52.95.169.0/24
cn-north-1,54.222.0.0/19
ap-southeast-2,54.239.0.112/28
us-east-1,54.239.8.0/21
ap-southeast-2,54.240.204.0/22
GLOBAL,99.86.0.0/16
us-east-1,207.171.176.0/20
eu-west-1,15.230.32.0/24
us-east-2,15.230.39.192/31
ap-southeast-2,54.231.248.0/22
eu-south-1,54.240.236.18/32
eu-south-1,99.77.138.0/24
eu-central-1,150.222.5.0/24
us-east-1,162.250.238.0/23
eu-west-1,178.236.0.0/20
us-east-2,15.230.39.72/31
us-east-2,18.224.0.0/14
eu-west-2,52.56.0.0/16
us-west-1,54.240.212.0/22
us-west-2,54.245.0.0/16
us-east-1,150.222.100.0/24
ap-south-1,13.248.105.0/24
sa-east-1,18.230.0.0/16
eu-central-1,52.58.0.0/15
eu-west-1,52.218.0.0/17
us-west-2,150.222.176.0/22
ap-northeast-3,13.248.0.0/20
us-east-2,15.230.39.174/31
us-east-2,15.230.39.240/31
us-east-2,52.95.29.0/26
us-west-2,99.77.152.0/24
us-east-2,3.131.0.0/16
us-east-2,15.230.39.158/31
ap-northeast-1,52.219.0.0/20
us-west-2,54.240.248.0/21
af-south-1,150.222.208.74/31
eu-south-1,150.222.240.239/32
us-east-1,176.32.125.252/31
us-east-2,52.95.0.0/20
us-east-1,205.251.246.0/24
ca-central-1,3.96.0.0/15
eu-west-2,52.94.32.0/20
eu-west-1,54.216.0.0/15
us-east-1,23.20.0.0/14
us-east-1,52.46.168.0/23
sa-east-1,52.93.151.0/24
ap-northeast-1,52.94.248.80/28
us-east-1,64.252.64.0/24
ap-southeast-1,99.77.143.0/24
us-west-1,13.56.0.0/16
us-east-2,15.230.39.4/31
us-east-2,15.230.39.30/31
eu-central-1,18.184.0.0/15
eu-south-1,54.240.236.45/32
us-east-1,72.21.192.0/19
GLOBAL,205.251.200.0/21
us-east-2,15.230.39.12/31
us-east-2,15.230.39.242/31
us-west-2,35.160.0.0/13
eu-west-1,52.48.0.0/14
ap-south-1,52.94.198.80/28
us-east-1,54.231.0.0/17
eu-north-1,99.77.137.0/24
eu-south-1,150.222.243.53/32
GLOBAL,223.71.71.128/25
GLOBAL,13.32.0.0/15
ap-northeast-1,13.112.0.0/14
us-east-2,15.230.39.66/31
ap-northeast-1,52.68.0.0/15
ap-southeast-1,52.144.231.64/26
us-west-1,54.67.0.0/16
ap-southeast-1,99.82.173.0/24
eu-central-1,52.57.0.0/16
us-east-1,52.94.124.0/22
eu-west-2,52.144.211.192/31
GLOBAL,120.253.245.128/26
eu-west-1,150.222.98.0/24
us-west-1,150.222.101.0/24
GLOBAL,13.224.0.0/14
eu-west-1,52.119.240.0/21
ap-northeast-1,54.239.0.80/28
us-east-1,54.240.216.0/22
me-south-1,99.82.128.0/20
us-east-1,99.82.166.0/24
eu-central-1,13.248.97.0/24
us-east-2,18.190.0.0/16
cn-northwest-1,52.82.168.0/24
cn-north-1,54.222.58.48/28
us-west-1,150.222.213.40/32
eu-west-3,150.222.242.84/31
eu-west-1,162.213.232.0/24
us-east-2,15.230.39.18/31
us-east-2,15.230.39.154/31
ap-northeast-1,52.93.73.0/26
eu-west-2,52.94.198.144/28
us-west-2,52.94.208.0/21
eu-north-1,52.95.227.0/24
us-west-2,54.68.0.0/14
eu-central-1,54.93.0.0/16
GLOBAL,70.132.0.0/18
us-east-1,52.44.0.0/15
ap-southeast-1,52.76.128.0/17
eu-west-1,52.92.40.0/21
ap-southeast-1,52.219.32.0/21
ap-northeast-1,54.95.0.0/16
us-west-2,54.212.0.0/15
sa-east-1,150.222.69.0/24
ap-southeast-1,52.93.8.0/22
eu-central-1,3.124.0.0/14
cn-northwest-1,52.82.176.0/22
us-west-1,52.144.194.192/26
us-west-1,54.183.0.0/16
eu-south-1,54.240.236.33/32
eu-south-1,54.240.236.49/32
GLOBAL,210.51.40.0/24
ap-southeast-2,3.24.0.0/14
eu-south-1,52.93.133.133/32
ap-northeast-1,52.95.34.0/24
ap-east-1,52.144.225.0/26
eu-south-1,54.240.236.10/32
eu-west-1,150.222.13.0/24
us-east-1,205.251.247.0/24
GLOBAL,13.249.0.0/16
us-east-1,15.193.6.0/24
us-east-2,15.230.39.212/31
ap-southeast-1,64.252.103.0/24
eu-south-1,150.222.240.135/32
ap-east-1,15.177.86.0/24
ap-southeast-1,15.221.8.0/21
us-west-1,18.144.0.0/15
us-east-1,52.90.0.0/15
eu-west-2,52.93.138.253/32
ap-northeast-3,52.95.157.0/24
eu-west-1,52.144.208.192/26
us-gov-east-1,108.175.52.0/22
af-south-1,150.222.208.88/31
us-east-1,52.0.0.0/15
cn-northwest-1,52.82.184.0/23
ap-northeast-1,52.93.250.0/23
af-south-1,52.95.176.0/24
eu-west-2,52.95.253.0/24
ap-northeast-2,54.239.120.0/21
cn-north-1,140.179.0.0/16
us-west-1,150.222.234.0/24
GLOBAL,205.251.208.0/20
us-west-2,52.93.12.12/32
eu-central-1,52.95.255.128/28
eu-west-1,52.208.0.0/13
ap-south-1,54.239.0.208/28
ap-northeast-1,103.246.150.0/23
eu-central-1,150.222.10.0/24
eu-west-2,13.248.120.0/24
us-east-2,15.230.39.170/31
us-east-1,52.54.0.0/15
us-east-1,52.93.3.0/24
us-west-2,52.95.230.0/24
ap-northeast-1,54.240.225.0/24
eu-south-1,54.240.236.85/32
ap-southeast-2,99.78.212.0/22
us-west-1,150.222.106.0/24
eu-central-1,150.222.129.118/31
ap-southeast-1,52.74.0.0/16
ap-northeast-1,54.168.0.0/16
eu-central-1,54.239.54.0/23
eu-west-1,15.177.89.0/24
eu-central-1,18.156.0.0/14
eu-south-1,52.93.133.129/32
us-east-2,52.95.24.0/22
us-east-1,52.119.196.0/22
eu-west-1,52.144.218.64/26
ap-northeast-1,64.252.113.0/24
eu-west-1,79.125.0.0/17
eu-west-2,99.77.134.0/24
af-south-1,99.78.144.0/21
ap-northeast-3,15.177.77.0/24
eu-south-1,15.177.90.0/24
us-gov-west-1,52.46.224.0/20
af-south-1,52.93.126.146/32
eu-west-3,52.95.156.0/24
ap-northeast-2,54.180.0.0/15
us-west-2,99.77.253.0/24
us-east-1,150.222.71.0/24
ap-northeast-1,15.177.79.0/24
us-east-2,15.230.39.122/31
ap-east-1,52.95.160.0/23
ap-northeast-1,54.64.0.0/15
ap-southeast-2,103.8.172.0/22
ap-northeast-1,176.34.0.0/19
us-east-2,15.230.39.152/31
us-east-2,15.230.39.184/31
ap-south-1,52.219.62.0/23
me-south-1,99.77.147.0/24
af-south-1,150.222.208.76/31
cn-northwest-1,3.5.214.0/23
us-east-2,15.230.39.118/31
cn-north-1,54.223.0.0/16
eu-west-1,54.239.0.48/28
eu-central-1,54.239.64.0/21
us-east-1,99.77.129.0/24
us-east-2,15.230.39.46/31
us-east-2,15.230.39.68/31
ap-northeast-1,46.51.224.0/19
ap-northeast-2,52.95.111.0/24
ap-southeast-1,54.179.0.0/16
ap-southeast-2,54.240.203.0/24
eu-west-2,150.222.134.0/24
ap-southeast-1,13.248.127.0/24
ap-southeast-2,52.144.224.64/26
eu-west-1,54.170.0.0/15
us-east-1,99.82.171.0/24
us-east-2,15.230.39.92/31
eu-south-1,52.95.151.0/24
us-east-1,52.144.200.64/26
eu-west-2,52.144.211.128/26
us-east-2,99.77.131.0/24
eu-central-1,150.222.129.112/31
us-east-2,15.230.39.134/31
us-east-1,35.153.0.0/16
us-gov-west-1,52.61.0.0/16
ap-northeast-2,52.79.0.0/16
ap-northeast-2,52.93.137.0/24
cn-north-1,150.222.89.0/24
eu-west-1,13.248.96.0/24
us-east-2,15.230.39.126/31
ap-northeast-3,52.95.158.0/23
us-east-1,52.144.192.128/26
us-east-1,52.216.0.0/15
eu-south-1,54.240.236.34/32
me-south-1,99.82.144.0/21
eu-west-2,99.82.169.0/24
eu-west-1,150.222.80.0/24
us-west-2,52.12.0.0/15
eu-south-1,52.93.133.175/32
ap-southeast-1,52.220.0.0/15
ap-southeast-2,54.231.252.0/24
af-south-1,54.239.1.128/28
us-east-1,162.250.236.0/24
us-east-2,15.230.39.140/31
ap-east-1,18.163.0.0/16
us-east-1,52.46.250.0/23
eu-west-1,52.94.5.0/24
ap-south-1,52.144.228.128/26
ap-northeast-1,54.199.0.0/16
ap-northeast-1,150.222.141.0/24
us-east-1,150.222.205.0/24
us-east-2,15.230.39.50/31
us-east-2,15.230.39.146/31
ap-southeast-1,18.142.0.0/15
ap-southeast-1,46.137.192.0/19
us-east-1,52.200.0.0/13
us-east-2,52.219.96.0/20
cn-north-1,54.222.32.0/22
us-west-2,205.251.232.0/22
us-east-2,15.230.39.32/31
us-east-1,34.224.0.0/12
us-west-2,52.75.0.0/16
cn-northwest-1,52.82.160.0/22
eu-north-1,52.144.215.194/31
af-south-1,99.78.128.0/20
sa-east-1,99.82.164.0/24
ap-southeast-2,52.93.126.138/32
eu-west-2,52.93.153.80/32
eu-west-2,52.95.148.0/23
GLOBAL,58.254.138.0/25
us-east-2,15.177.66.0/23
us-gov-west-1,52.94.248.224/28
ap-east-1,52.95.162.0/24
ap-northeast-1,52.95.255.48/28
us-west-2,54.218.0.0/16
eu-west-2,150.222.215.0/24
GLOBAL,15.197.4.0/22
eu-south-1,52.93.133.155/32
eu-west-3,52.94.16.0/24
us-east-1,52.144.195.0/26
sa-east-1,64.252.78.0/24
ap-southeast-1,43.250.192.0/24
eu-central-1,52.93.126.133/32
eu-west-1,54.239.113.0/24
us-west-1,176.32.112.0/21
eu-west-2,52.144.209.192/26
eu-west-1,52.144.218.0/26
eu-south-1,54.240.236.5/32
eu-west-1,99.80.0.0/15
us-east-2,15.230.39.124/31
us-east-2,15.230.39.200/31
us-east-1,52.93.64.0/24
eu-west-2,52.93.80.0/24
eu-central-1,52.94.69.0/24
us-west-2,52.94.120.0/22
ap-northeast-2,54.239.40.152/29
eu-south-1,54.240.236.1/32
GLOBAL,99.77.188.0/24
eu-west-1,13.248.121.0/24
us-east-2,15.230.39.166/31
us-west-2,52.94.10.0/24
ap-northeast-1,99.82.170.0/24
eu-north-1,13.248.122.0/24
ap-south-1,52.95.249.0/24
ap-east-1,54.239.1.82/32
us-west-2,54.244.0.0/16
eu-central-1,64.252.87.0/24
ca-central-1,99.82.174.0/24
ap-southeast-1,46.137.224.0/19
us-west-1,52.95.42.0/24
ap-south-1,65.0.0.0/14
GLOBAL,99.82.156.0/22
us-east-1,50.19.0.0/16
ca-central-1,99.79.0.0/16
GLOBAL,116.129.226.0/25
us-east-1,150.222.73.0/24
us-west-2,44.224.0.0/11
cn-north-1,52.81.0.0/16
eu-south-1,52.93.135.195/32
GLOBAL,52.222.128.0/17
eu-central-1,150.222.104.0/24
eu-south-1,150.222.240.207/32
us-east-1,15.221.4.0/23
us-east-2,15.230.39.110/31
eu-west-2,52.144.211.64/26
ca-central-1,150.222.109.0/24
af-south-1,150.222.208.68/31
ap-southeast-2,52.93.126.137/32
eu-north-1,15.230.38.0/24
us-east-2,15.230.39.88/31
ap-southeast-2,52.93.126.139/32
me-south-1,52.95.172.0/23
us-west-2,64.252.73.0/24
us-east-1,174.129.0.0/16
eu-south-1,52.93.134.181/32
us-east-1,52.95.255.80/28
ap-south-1,64.252.101.0/24
us-east-1,150.222.87.0/24
eu-central-1,150.222.129.140/31
eu-west-1,15.230.31.0/24
us-gov-east-1,52.94.22.0/24
us-west-2,52.95.255.112/28
eu-south-1,54.240.236.2/32
eu-west-1,13.248.118.0/24
us-east-1,18.208.0.0/13
us-east-1,52.95.245.0/24
ap-east-1,54.240.17.0/24
ap-east-1,99.77.142.0/24
us-east-1,99.77.187.0/24
eu-south-1,150.222.243.47/32
ap-south-1,15.177.73.0/24
ap-southeast-1,46.51.216.0/21
eu-central-1,150.222.129.116/31
eu-south-1,150.222.242.99/32
